,Year,Country,Indicator,Sector,value,totalValue,Percent
1,2004,Bolivia,Government take,Macro,504.3557333517,1793.2066511818,0.2812591248
2,2004,Ecuador,Government take,Macro,2115.4,5594,1.3041923551
3,2004,Peru,Government take,Macro,1128.1350166556,9264.61835713,0.1217681045
4,2005,Bolivia,Government take,Macro,924.2704709357,2419.7541912313,0.3819687447
5,2005,Ecuador,Government take,Macro,2211.598,7584,0.9615643478
6,2005,Peru,Government take,Macro,2099.6016367462,12520.2068516773,0.1676970406
7,2006,Bolivia,Government take,Macro,1605.7171411945,3484.7991825175,0.4607775246
8,2006,Ecuador,Government take,Macro,3235.007,9586,0.8574097535
9,2006,Peru,Government take,Macro,3767.4476928236,18661.440800504,0.2018840739
10,2007,Bolivia,Government take,Macro,2050.1552874626,4137.5810381022,0.4954961047
11,2007,Ecuador,Government take,Macro,3318.06,10902,0.8270338983
12,2007,Peru,Government take,Macro,4192.5156246331,21824.8959634197,0.1920978515
13,2008,Bolivia,Government take,Macro,2849.7179112854,6004.4780953649,0.4745987688
14,2008,Ecuador,Government take,Macro,8675.272,15029,1.342298004
15,2008,Peru,Government take,Macro,4046.4139108591,23513.526679322,0.1720887711
16,2009,Bolivia,Government take,Macro,2751.377778272,4667.4792341801,0.5894783116
17,2009,Ecuador,Government take,Macro,5211.501,9217,1.1684979821
18,2009,Peru,Government take,Macro,3285.3254211688,19844.3932544129,0.1655543397
19,2010,Bolivia,Government take,Macro,2908.6626631103,6290.2828455706,0.4624057033
20,2010,Ecuador,Government take,Macro,7845.02,12585,1.1660255648
21,2010,Peru,Government take,Macro,4939.4770891912,26567.9659520291,0.1859185268
22,2011,Bolivia,Government take,Macro,3697.3588533837,8540.6073633763,0.4329152127
23,2011,Ecuador,Government take,Macro,12934.602,17004,1.0996940996
24,2011,Peru,Government take,Macro,6816.3200865986,34489.2534481955,0.1976360578
25,2012,Bolivia,Government take,Macro,4899.3078762471,10486.4125042727,0.4672053359
26,2012,Ecuador,Government take,Macro,12219.706,17322,0.9613489104
27,2012,Peru,Government take,Macro,6521.9281124443,32821.1892311534,0.1987109019
28,2013,Bolivia,Government take,Macro,5782.864413,11063.1332524545,0.5227148838
29,2013,Ecuador,Government take,Macro,11433.388,18119,0.8524745004
30,2013,Peru,Government take,Macro,5580.3544515276,29591.4218022719,0.1885801395
31,2014,Bolivia,Government take,Macro,5960.6,11461.7649827273,0.5200420711
32,2014,Ecuador,Government take,Macro,10905.823,16862,0.8378782268
33,2014,Peru,Government take,Macro,4712.8468691793,26286.5873557235,0.1792871325
